AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
41.0,4.0,24.0,1.0,"Education, Training, and Library",6.0,1.0,60.0,2.0,1.0
77.0,7.0,22.0,1.0,Sales and Related,39.0,0.0,35.0,1.0,1.0
38.0,1.0,18.0,1.0,"Management, Business, Science, and Arts",6.0,1.0,50.0,1.0,1.0
30.0,1.0,22.0,5.0,Architecture and Engineering,6.0,2.0,80.0,1.0,6.0
36.0,1.0,16.0,1.0,Food Preparation and Serving,314.0,1.0,70.0,2.0,1.0
27.0,1.0,21.0,5.0,"Education, Training, and Library",29.0,12.0,15.0,2.0,1.0
25.0,1.0,21.0,5.0,Personal Care and Service,109.0,11.0,30.0,2.0,1.0
30.0,1.0,21.0,1.0,Business Operations Specialists,6.0,0.0,38.0,2.0,6.0
27.0,6.0,21.0,5.0,"Education, Training, and Library",6.0,12.0,5.0,1.0,1.0
34.0,3.0,21.0,1.0,"Education, Training, and Library",6.0,0.0,40.0,2.0,1.0
32.0,1.0,18.0,5.0,Production,233.0,13.0,40.0,2.0,6.0
68.0,1.0,11.0,5.0,Transportation and Material Moving,303.0,0.0,40.0,2.0,8.0
70.0,6.0,24.0,3.0,"Life, Physical, and Social Science",8.0,0.0,70.0,2.0,1.0
60.0,2.0,21.0,5.0,"Management, Business, Science, and Arts",6.0,0.0,40.0,2.0,6.0
70.0,3.0,21.0,3.0,"Education, Training, and Library",26.0,0.0,15.0,2.0,6.0
43.0,4.0,22.0,1.0,"Life, Physical, and Social Science",109.0,1.0,50.0,1.0,1.0
69.0,1.0,18.0,1.0,Healthcare Practitioners and Technical,6.0,0.0,40.0,2.0,1.0
58.0,1.0,20.0,1.0,Architecture and Engineering,440.0,1.0,40.0,1.0,2.0
41.0,1.0,20.0,1.0,Construction and Extraction,6.0,1.0,40.0,1.0,1.0
36.0,1.0,21.0,3.0,"Management, Business, Science, and Arts",6.0,2.0,40.0,2.0,1.0
56.0,1.0,20.0,3.0,"Management, Business, Science, and Arts",247.0,11.0,20.0,1.0,6.0
60.0,1.0,16.0,3.0,"Education, Training, and Library",23.0,0.0,40.0,2.0,1.0
55.0,4.0,1.0,1.0,Office and Administrative Support,303.0,1.0,40.0,2.0,1.0
45.0,1.0,18.0,3.0,"Management, Business, Science, and Arts",6.0,0.0,50.0,1.0,1.0
24.0,1.0,16.0,5.0,Building and Grounds Cleaning and Maintenance,6.0,0.0,40.0,1.0,1.0
21.0,1.0,19.0,5.0,Office and Administrative Support,6.0,3.0,40.0,2.0,1.0
63.0,1.0,21.0,1.0,Healthcare Practitioners and Technical,4.0,0.0,24.0,2.0,1.0
60.0,1.0,19.0,4.0,Office and Administrative Support,6.0,0.0,40.0,2.0,2.0
51.0,7.0,16.0,1.0,"Installation, Maintenance, and Repair Workers",6.0,0.0,55.0,1.0,1.0
61.0,1.0,15.0,1.0,Sales and Related,303.0,0.0,40.0,1.0,8.0
33.0,3.0,21.0,1.0,"Education, Training, and Library",6.0,0.0,37.0,1.0,1.0
33.0,2.0,24.0,1.0,"Education, Training, and Library",207.0,1.0,50.0,2.0,6.0
46.0,1.0,19.0,5.0,"Management, Business, Science, and Arts",6.0,0.0,40.0,2.0,1.0
33.0,4.0,21.0,5.0,Computer and Maths,6.0,0.0,40.0,1.0,1.0
43.0,1.0,19.0,5.0,Healthcare Support,164.0,0.0,40.0,2.0,1.0
29.0,1.0,21.0,1.0,Computer and Maths,128.0,0.0,40.0,1.0,1.0
25.0,1.0,21.0,5.0,"Life, Physical, and Social Science",6.0,0.0,55.0,2.0,9.0
26.0,2.0,21.0,5.0,"Life, Physical, and Social Science",48.0,2.0,40.0,1.0,6.0
73.0,1.0,22.0,1.0,Sales and Related,53.0,0.0,20.0,1.0,1.0
61.0,1.0,18.0,1.0,Sales and Related,212.0,0.0,55.0,1.0,1.0
74.0,3.0,22.0,3.0,"Education, Training, and Library",42.0,0.0,14.0,2.0,1.0
52.0,1.0,18.0,5.0,"Life, Physical, and Social Science",6.0,0.0,40.0,1.0,1.0
41.0,2.0,21.0,1.0,Healthcare Support,6.0,1.0,40.0,2.0,6.0
23.0,1.0,16.0,1.0,Office and Administrative Support,6.0,9.0,25.0,2.0,8.0
31.0,1.0,18.0,5.0,Sales and Related,6.0,12.0,40.0,1.0,2.0
76.0,1.0,16.0,1.0,Transportation and Material Moving,6.0,0.0,40.0,1.0,1.0
32.0,1.0,17.0,1.0,"Farming, Fishing, and Forestry",6.0,1.0,50.0,1.0,1.0
35.0,1.0,2.0,1.0,Transportation and Material Moving,6.0,2.0,40.0,1.0,2.0
40.0,1.0,21.0,1.0,"Management, Business, Science, and Arts",210.0,1.0,40.0,2.0,6.0
52.0,1.0,13.0,1.0,Construction and Extraction,6.0,1.0,45.0,1.0,1.0
54.0,8.0,19.0,3.0,"Installation, Maintenance, and Repair Workers",6.0,2.0,15.0,1.0,1.0
59.0,1.0,20.0,1.0,Production,303.0,0.0,44.0,1.0,5.0
52.0,7.0,18.0,1.0,Office and Administrative Support,209.0,0.0,40.0,2.0,6.0
45.0,1.0,19.0,1.0,Sales and Related,207.0,1.0,40.0,2.0,6.0
