AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
41.0,4.0,24.0,1.0,"Education, Training, and Library",northern_america,1.0,60.0,2.0,1.0
77.0,7.0,22.0,1.0,Sales and Related,northern_america,0.0,35.0,1.0,1.0
38.0,1.0,18.0,1.0,"Management, Business, Science, and Arts",northern_america,1.0,50.0,1.0,1.0
30.0,1.0,22.0,5.0,Architecture and Engineering,northern_america,2.0,80.0,1.0,6.0
36.0,1.0,16.0,1.0,Food Preparation and Serving,latin_america,1.0,70.0,2.0,1.0
27.0,1.0,21.0,5.0,"Education, Training, and Library",northern_america,12.0,15.0,2.0,1.0
25.0,1.0,21.0,5.0,Personal Care and Service,western_europe,11.0,30.0,2.0,1.0
30.0,1.0,21.0,1.0,Business Operations Specialists,northern_america,0.0,38.0,2.0,6.0
27.0,6.0,21.0,5.0,"Education, Training, and Library",northern_america,12.0,5.0,1.0,1.0
34.0,3.0,21.0,1.0,"Education, Training, and Library",northern_america,0.0,40.0,2.0,1.0
32.0,1.0,18.0,5.0,Production,south_eastern_asia,13.0,40.0,2.0,6.0
68.0,1.0,11.0,5.0,Transportation and Material Moving,latin_america,0.0,40.0,2.0,8.0
70.0,6.0,24.0,3.0,"Life, Physical, and Social Science",northern_america,0.0,70.0,2.0,1.0
60.0,2.0,21.0,5.0,"Management, Business, Science, and Arts",northern_america,0.0,40.0,2.0,6.0
70.0,3.0,21.0,3.0,"Education, Training, and Library",northern_america,0.0,15.0,2.0,6.0
43.0,4.0,22.0,1.0,"Life, Physical, and Social Science",western_europe,1.0,50.0,1.0,1.0
69.0,1.0,18.0,1.0,Healthcare Practitioners and Technical,northern_america,0.0,40.0,2.0,1.0
58.0,1.0,20.0,1.0,Architecture and Engineering,western_africa,1.0,40.0,1.0,2.0
41.0,1.0,20.0,1.0,Construction and Extraction,northern_america,1.0,40.0,1.0,1.0
36.0,1.0,21.0,3.0,"Management, Business, Science, and Arts",northern_america,2.0,40.0,2.0,1.0
56.0,1.0,20.0,3.0,"Management, Business, Science, and Arts",south_eastern_asia,11.0,20.0,1.0,6.0
60.0,1.0,16.0,3.0,"Education, Training, and Library",northern_america,0.0,40.0,2.0,1.0
55.0,4.0,1.0,1.0,Office and Administrative Support,latin_america,1.0,40.0,2.0,1.0
45.0,1.0,18.0,3.0,"Management, Business, Science, and Arts",northern_america,0.0,50.0,1.0,1.0
24.0,1.0,16.0,5.0,Building and Grounds Cleaning and Maintenance,northern_america,0.0,40.0,1.0,1.0
21.0,1.0,19.0,5.0,Office and Administrative Support,northern_america,3.0,40.0,2.0,1.0
63.0,1.0,21.0,1.0,Healthcare Practitioners and Technical,northern_america,0.0,24.0,2.0,1.0
60.0,1.0,19.0,4.0,Office and Administrative Support,northern_america,0.0,40.0,2.0,2.0
51.0,7.0,16.0,1.0,"Installation, Maintenance, and Repair Workers",northern_america,0.0,55.0,1.0,1.0
61.0,1.0,15.0,1.0,Sales and Related,latin_america,0.0,40.0,1.0,8.0
33.0,3.0,21.0,1.0,"Education, Training, and Library",northern_america,0.0,37.0,1.0,1.0
33.0,2.0,24.0,1.0,"Education, Training, and Library",eastern_asia,1.0,50.0,2.0,6.0
46.0,1.0,19.0,5.0,"Management, Business, Science, and Arts",northern_america,0.0,40.0,2.0,1.0
33.0,4.0,21.0,5.0,Computer and Maths,northern_america,0.0,40.0,1.0,1.0
43.0,1.0,19.0,5.0,Healthcare Support,earthern_europe,0.0,40.0,2.0,1.0
29.0,1.0,21.0,1.0,Computer and Maths,earthern_europe,0.0,40.0,1.0,1.0
25.0,1.0,21.0,5.0,"Life, Physical, and Social Science",northern_america,0.0,55.0,2.0,9.0
26.0,2.0,21.0,5.0,"Life, Physical, and Social Science",northern_america,2.0,40.0,1.0,6.0
73.0,1.0,22.0,1.0,Sales and Related,northern_america,0.0,20.0,1.0,1.0
61.0,1.0,18.0,1.0,Sales and Related,south_central_asia,0.0,55.0,1.0,1.0
