,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
0,41.0,4.0,24.0,1.0,2555.0,northern_america,1.0,60.0,2.0,1.0
1,77.0,7.0,22.0,1.0,4920.0,northern_america,0.0,35.0,1.0,1.0
2,38.0,1.0,18.0,1.0,440.0,northern_america,1.0,50.0,1.0,1.0
3,30.0,1.0,22.0,5.0,1555.0,northern_america,2.0,80.0,1.0,6.0
4,36.0,1.0,16.0,1.0,4030.0,latin_america,1.0,70.0,2.0,1.0
5,27.0,1.0,21.0,5.0,2205.0,northern_america,12.0,15.0,2.0,1.0
6,25.0,1.0,21.0,5.0,4600.0,western_europe,11.0,30.0,2.0,1.0
7,30.0,1.0,21.0,1.0,735.0,northern_america,0.0,38.0,2.0,6.0
8,27.0,6.0,21.0,5.0,2310.0,northern_america,12.0,5.0,1.0,1.0
9,34.0,3.0,21.0,1.0,2310.0,northern_america,0.0,40.0,2.0,1.0
10,32.0,1.0,18.0,5.0,8990.0,south_eastern_asia,13.0,40.0,2.0,6.0
11,68.0,1.0,11.0,5.0,9620.0,latin_america,0.0,40.0,2.0,8.0
12,70.0,6.0,24.0,3.0,1825.0,northern_america,0.0,70.0,2.0,1.0
13,60.0,2.0,21.0,5.0,150.0,northern_america,0.0,40.0,2.0,6.0
14,70.0,3.0,21.0,3.0,2545.0,northern_america,0.0,15.0,2.0,6.0
15,43.0,4.0,22.0,1.0,1760.0,western_europe,1.0,50.0,1.0,1.0
16,69.0,1.0,18.0,1.0,3323.0,northern_america,0.0,40.0,2.0,1.0
17,58.0,1.0,20.0,1.0,1555.0,western_africa,1.0,40.0,1.0,2.0
18,41.0,1.0,20.0,1.0,6442.0,northern_america,1.0,40.0,1.0,1.0
19,36.0,1.0,21.0,3.0,440.0,northern_america,2.0,40.0,2.0,1.0
20,56.0,1.0,20.0,3.0,340.0,south_eastern_asia,11.0,20.0,1.0,6.0
21,60.0,1.0,16.0,3.0,2360.0,northern_america,0.0,40.0,2.0,1.0
22,55.0,4.0,1.0,1.0,5860.0,latin_america,1.0,40.0,2.0,1.0
23,45.0,1.0,18.0,3.0,20.0,northern_america,0.0,50.0,1.0,1.0
24,24.0,1.0,16.0,5.0,4230.0,northern_america,0.0,40.0,1.0,1.0
25,21.0,1.0,19.0,5.0,5500.0,northern_america,3.0,40.0,2.0,1.0
26,63.0,1.0,21.0,1.0,3255.0,northern_america,0.0,24.0,2.0,1.0
27,60.0,1.0,19.0,4.0,5350.0,northern_america,0.0,40.0,2.0,2.0
28,51.0,7.0,16.0,1.0,7200.0,northern_america,0.0,55.0,1.0,1.0
29,61.0,1.0,15.0,1.0,4710.0,latin_america,0.0,40.0,1.0,8.0
30,33.0,3.0,21.0,1.0,2310.0,northern_america,0.0,37.0,1.0,1.0
31,33.0,2.0,24.0,1.0,2205.0,eastern_asia,1.0,50.0,2.0,6.0
32,46.0,1.0,19.0,5.0,440.0,northern_america,0.0,40.0,2.0,1.0
33,33.0,4.0,21.0,5.0,1105.0,northern_america,0.0,40.0,1.0,1.0
34,43.0,1.0,19.0,5.0,3645.0,earthern_europe,0.0,40.0,2.0,1.0
35,29.0,1.0,21.0,1.0,1021.0,earthern_europe,0.0,40.0,1.0,1.0
36,25.0,1.0,21.0,5.0,1760.0,northern_america,0.0,55.0,2.0,9.0
37,26.0,2.0,21.0,5.0,1970.0,northern_america,2.0,40.0,1.0,6.0
38,73.0,1.0,22.0,1.0,4820.0,northern_america,0.0,20.0,1.0,1.0
39,61.0,1.0,18.0,1.0,4760.0,south_central_asia,0.0,55.0,1.0,1.0
40,74.0,3.0,22.0,3.0,2310.0,northern_america,0.0,14.0,2.0,1.0
41,52.0,1.0,18.0,5.0,1920.0,northern_america,0.0,40.0,1.0,1.0
42,41.0,2.0,21.0,1.0,3603.0,northern_america,1.0,40.0,2.0,6.0
43,23.0,1.0,16.0,1.0,5240.0,northern_america,9.0,25.0,2.0,8.0
44,31.0,1.0,18.0,5.0,4840.0,northern_america,12.0,40.0,1.0,2.0
45,76.0,1.0,16.0,1.0,9130.0,northern_america,0.0,40.0,1.0,1.0
46,32.0,1.0,17.0,1.0,6200.0,northern_america,1.0,50.0,1.0,1.0
47,35.0,1.0,2.0,1.0,9620.0,northern_america,2.0,40.0,1.0,2.0
48,40.0,1.0,21.0,1.0,440.0,south_central_asia,1.0,40.0,2.0,6.0
49,52.0,1.0,13.0,1.0,6355.0,northern_america,1.0,45.0,1.0,1.0
50,54.0,8.0,19.0,3.0,7640.0,northern_america,2.0,15.0,1.0,1.0
51,59.0,1.0,20.0,1.0,8140.0,latin_america,0.0,44.0,1.0,5.0
52,52.0,7.0,18.0,1.0,5120.0,eastern_asia,0.0,40.0,2.0,6.0
53,45.0,1.0,19.0,1.0,4820.0,eastern_asia,1.0,40.0,2.0,6.0
54,66.0,6.0,21.0,1.0,205.0,northern_america,0.0,40.0,1.0,1.0
55,27.0,1.0,16.0,5.0,5860.0,northern_america,0.0,40.0,2.0,1.0
56,60.0,7.0,21.0,1.0,540.0,northern_america,0.0,50.0,1.0,1.0
57,22.0,4.0,21.0,1.0,1760.0,northern_america,1.0,40.0,2.0,1.0
58,62.0,6.0,14.0,3.0,4350.0,northern_america,4.0,60.0,2.0,1.0
59,26.0,1.0,19.0,5.0,5860.0,eastern_asia,2.0,40.0,2.0,6.0
60,51.0,1.0,21.0,1.0,3255.0,south_eastern_asia,0.0,48.0,1.0,6.0
61,55.0,1.0,22.0,1.0,52.0,northern_america,1.0,45.0,1.0,1.0
62,57.0,2.0,22.0,1.0,2006.0,northern_america,0.0,40.0,1.0,1.0
63,22.0,1.0,16.0,5.0,5120.0,northern_america,2.0,28.0,1.0,9.0
64,49.0,1.0,20.0,1.0,101.0,northern_america,0.0,40.0,2.0,1.0
65,39.0,5.0,22.0,5.0,160.0,latin_america,2.0,45.0,2.0,1.0
66,65.0,1.0,16.0,3.0,4600.0,northern_america,13.0,20.0,2.0,1.0
67,46.0,1.0,20.0,1.0,1555.0,latin_america,1.0,40.0,2.0,8.0
68,21.0,1.0,19.0,5.0,4760.0,northern_america,2.0,35.0,1.0,1.0
69,70.0,6.0,22.0,1.0,2600.0,northern_america,0.0,28.0,1.0,9.0
70,38.0,1.0,21.0,1.0,710.0,northern_america,1.0,40.0,1.0,1.0
71,35.0,6.0,21.0,1.0,4920.0,northern_america,0.0,51.0,1.0,1.0
72,22.0,1.0,16.0,5.0,9620.0,northern_america,2.0,40.0,1.0,1.0
73,44.0,1.0,19.0,3.0,940.0,northern_america,0.0,40.0,2.0,1.0
74,29.0,1.0,21.0,1.0,2850.0,northern_america,2.0,40.0,2.0,1.0
75,33.0,1.0,24.0,1.0,1760.0,northern_america,9.0,40.0,1.0,1.0
76,62.0,1.0,23.0,1.0,9030.0,northern_america,0.0,60.0,1.0,1.0
77,67.0,1.0,22.0,1.0,4465.0,northern_america,0.0,10.0,1.0,1.0
78,65.0,1.0,21.0,3.0,3310.0,northern_america,0.0,16.0,2.0,2.0
79,29.0,4.0,21.0,1.0,1240.0,northern_america,1.0,40.0,1.0,1.0
80,65.0,1.0,16.0,1.0,9005.0,northern_america,0.0,40.0,1.0,1.0
81,23.0,1.0,21.0,5.0,4760.0,northern_america,2.0,25.0,1.0,1.0
82,61.0,4.0,21.0,4.0,230.0,northern_america,0.0,45.0,2.0,1.0
83,24.0,7.0,16.0,5.0,6230.0,northern_america,13.0,40.0,1.0,1.0
84,24.0,6.0,19.0,1.0,6230.0,latin_america,0.0,40.0,2.0,8.0
85,46.0,6.0,21.0,1.0,4820.0,northern_america,0.0,40.0,1.0,1.0
86,39.0,1.0,21.0,1.0,2640.0,eastern_asia,1.0,40.0,2.0,6.0
87,65.0,1.0,18.0,1.0,7640.0,northern_america,0.0,40.0,1.0,1.0
88,31.0,1.0,21.0,5.0,5940.0,western_asia,0.0,55.0,2.0,1.0
89,37.0,6.0,16.0,5.0,2640.0,northern_america,2.0,40.0,1.0,1.0
90,69.0,7.0,23.0,1.0,2100.0,northern_america,0.0,45.0,1.0,1.0
91,32.0,1.0,19.0,1.0,9645.0,northern_america,1.0,60.0,1.0,6.0
92,52.0,1.0,21.0,1.0,1650.0,western_europe,0.0,40.0,2.0,1.0
93,34.0,1.0,16.0,1.0,4220.0,northern_america,2.0,32.0,2.0,1.0
94,45.0,5.0,21.0,1.0,3870.0,northern_america,0.0,50.0,1.0,1.0
95,36.0,2.0,19.0,1.0,230.0,northern_america,2.0,40.0,2.0,7.0
96,25.0,1.0,21.0,1.0,4940.0,latin_america,1.0,40.0,1.0,1.0
97,45.0,2.0,19.0,3.0,3602.0,northern_america,3.0,24.0,2.0,1.0
98,30.0,1.0,14.0,5.0,8990.0,northern_america,10.0,40.0,1.0,1.0
99,74.0,2.0,24.0,1.0,2205.0,western_asia,1.0,50.0,2.0,1.0
100,56.0,1.0,21.0,1.0,5860.0,northern_america,1.0,20.0,2.0,1.0
101,29.0,4.0,21.0,1.0,5740.0,northern_america,1.0,40.0,1.0,6.0
102,46.0,1.0,1.0,1.0,9130.0,latin_america,1.0,40.0,2.0,1.0
103,43.0,1.0,21.0,5.0,1650.0,northern_america,0.0,50.0,2.0,1.0
104,41.0,1.0,23.0,1.0,1021.0,northern_america,0.0,50.0,1.0,6.0
105,39.0,1.0,22.0,1.0,710.0,northern_america,0.0,35.0,2.0,1.0
106,41.0,1.0,16.0,5.0,4110.0,eastern_asia,0.0,40.0,2.0,6.0
107,60.0,1.0,19.0,3.0,5000.0,northern_america,0.0,55.0,2.0,1.0
108,28.0,5.0,19.0,1.0,630.0,northern_america,1.0,40.0,2.0,1.0
109,43.0,1.0,9.0,1.0,6230.0,latin_america,1.0,35.0,1.0,8.0
110,37.0,1.0,18.0,1.0,5610.0,northern_america,1.0,40.0,2.0,1.0
111,25.0,1.0,21.0,5.0,2001.0,western_asia,0.0,36.0,1.0,2.0
112,50.0,6.0,21.0,3.0,6005.0,northern_america,0.0,60.0,2.0,1.0
113,67.0,6.0,22.0,5.0,2400.0,northern_america,0.0,25.0,2.0,1.0
114,62.0,1.0,21.0,5.0,4920.0,northern_america,0.0,60.0,2.0,1.0
115,21.0,1.0,19.0,5.0,2350.0,northern_america,2.0,16.0,2.0,1.0
116,25.0,2.0,22.0,1.0,2003.0,northern_america,0.0,20.0,2.0,1.0
117,24.0,1.0,21.0,5.0,2910.0,northern_america,2.0,5.0,2.0,1.0
118,41.0,1.0,20.0,1.0,800.0,northern_america,1.0,50.0,2.0,1.0
119,17.0,1.0,14.0,5.0,4720.0,northern_america,2.0,15.0,1.0,9.0
120,37.0,1.0,19.0,1.0,5400.0,northern_america,1.0,50.0,1.0,1.0
121,62.0,1.0,9.0,1.0,6442.0,latin_america,0.0,40.0,1.0,8.0
122,24.0,1.0,16.0,5.0,9645.0,northern_america,2.0,40.0,1.0,1.0
123,64.0,1.0,6.0,3.0,6305.0,latin_america,0.0,60.0,1.0,8.0
124,33.0,1.0,18.0,5.0,9645.0,latin_america,10.0,40.0,1.0,8.0
125,19.0,1.0,19.0,5.0,4622.0,northern_america,17.0,30.0,2.0,1.0
126,27.0,1.0,21.0,5.0,110.0,northern_america,0.0,40.0,1.0,1.0
127,35.0,1.0,20.0,1.0,3640.0,northern_america,0.0,45.0,2.0,1.0
128,48.0,1.0,9.0,1.0,8320.0,latin_america,1.0,36.0,1.0,8.0
129,48.0,7.0,21.0,1.0,4920.0,northern_america,1.0,70.0,1.0,1.0
130,32.0,3.0,21.0,5.0,2310.0,northern_america,0.0,48.0,1.0,1.0
131,26.0,3.0,20.0,5.0,5320.0,northern_america,0.0,40.0,2.0,1.0
132,66.0,1.0,15.0,1.0,1106.0,eastern_asia,6.0,40.0,1.0,6.0
133,52.0,1.0,22.0,3.0,3500.0,northern_america,2.0,40.0,2.0,1.0
134,37.0,1.0,16.0,1.0,9645.0,northern_america,1.0,40.0,1.0,1.0
135,48.0,1.0,21.0,5.0,3930.0,northern_america,0.0,5.0,1.0,1.0
136,59.0,1.0,22.0,5.0,750.0,northern_america,5.0,40.0,1.0,6.0
137,59.0,2.0,16.0,5.0,4600.0,northern_america,0.0,30.0,2.0,8.0
138,55.0,1.0,7.0,1.0,6050.0,latin_america,0.0,60.0,1.0,1.0
139,23.0,5.0,19.0,1.0,2145.0,western_europe,1.0,50.0,1.0,1.0
140,63.0,1.0,9.0,1.0,2633.0,latin_america,0.0,40.0,1.0,8.0
141,18.0,5.0,16.0,5.0,9830.0,northern_america,17.0,40.0,1.0,1.0
142,49.0,6.0,21.0,5.0,440.0,south_eastern_asia,2.0,40.0,1.0,6.0
143,76.0,6.0,21.0,1.0,4700.0,northern_america,0.0,66.0,1.0,1.0
144,24.0,1.0,16.0,5.0,4710.0,northern_america,0.0,40.0,2.0,8.0
145,69.0,5.0,21.0,1.0,800.0,northern_america,1.0,40.0,1.0,1.0
146,57.0,1.0,18.0,1.0,7330.0,northern_america,0.0,48.0,1.0,1.0
147,20.0,1.0,18.0,5.0,9130.0,northern_america,2.0,42.0,1.0,1.0
148,39.0,1.0,21.0,1.0,10.0,south_eastern_asia,0.0,55.0,2.0,6.0
149,65.0,1.0,7.0,1.0,6050.0,latin_america,1.0,60.0,2.0,1.0
150,47.0,3.0,16.0,1.0,3802.0,northern_america,0.0,40.0,1.0,1.0
151,58.0,7.0,18.0,1.0,800.0,eastern_asia,15.0,50.0,1.0,6.0
