AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
63.0,1.0,17.0,1.0,21,8.0,1.0,45.0,1.0,1.0
30.0,1.0,16.0,5.0,15,8.0,13.0,40.0,1.0,1.0
26.0,1.0,19.0,5.0,0,8.0,12.0,40.0,2.0,2.0
20.0,1.0,16.0,5.0,22,8.0,2.0,40.0,1.0,1.0
46.0,1.0,16.0,3.0,18,8.0,11.0,40.0,1.0,1.0
31.0,5.0,16.0,1.0,23,8.0,0.0,55.0,1.0,1.0
41.0,3.0,18.0,5.0,11,8.0,0.0,40.0,1.0,1.0
45.0,6.0,16.0,5.0,14,8.0,0.0,65.0,2.0,2.0
35.0,2.0,21.0,1.0,0,8.0,0.0,25.0,2.0,1.0
62.0,1.0,9.0,1.0,17,9.0,0.0,40.0,1.0,1.0
62.0,7.0,19.0,3.0,14,4.0,0.0,40.0,2.0,6.0
58.0,5.0,16.0,1.0,16,4.0,0.0,40.0,1.0,6.0
47.0,1.0,20.0,1.0,9,8.0,0.0,40.0,2.0,1.0
60.0,1.0,20.0,5.0,0,8.0,0.0,48.0,2.0,1.0
37.0,7.0,21.0,3.0,13,9.0,0.0,20.0,2.0,8.0
22.0,5.0,16.0,5.0,20,10.0,17.0,50.0,2.0,2.0
31.0,6.0,16.0,1.0,22,8.0,1.0,60.0,1.0,1.0
24.0,1.0,21.0,5.0,7,9.0,2.0,40.0,2.0,8.0
23.0,8.0,21.0,5.0,1,8.0,2.0,20.0,1.0,9.0
65.0,1.0,20.0,5.0,4,0.0,0.0,25.0,1.0,1.0
20.0,1.0,19.0,5.0,14,8.0,12.0,20.0,1.0,1.0
37.0,1.0,22.0,1.0,4,8.0,1.0,48.0,1.0,1.0
47.0,1.0,20.0,1.0,16,8.0,0.0,50.0,2.0,1.0
46.0,1.0,18.0,1.0,15,8.0,0.0,45.0,1.0,1.0
23.0,1.0,21.0,5.0,0,8.0,0.0,40.0,2.0,1.0
37.0,3.0,21.0,1.0,16,6.0,0.0,40.0,2.0,6.0
51.0,1.0,18.0,1.0,15,5.0,0.0,25.0,1.0,6.0
30.0,1.0,21.0,1.0,1,8.0,0.0,70.0,2.0,1.0
24.0,1.0,17.0,5.0,22,9.0,2.0,25.0,1.0,1.0
40.0,3.0,21.0,1.0,5,8.0,1.0,40.0,2.0,1.0
39.0,4.0,16.0,3.0,16,8.0,0.0,8.0,2.0,6.0
23.0,1.0,16.0,5.0,16,8.0,11.0,30.0,2.0,1.0
56.0,6.0,19.0,1.0,15,6.0,0.0,65.0,1.0,6.0
46.0,6.0,16.0,1.0,6,8.0,0.0,15.0,2.0,1.0
25.0,1.0,16.0,5.0,22,8.0,2.0,25.0,1.0,2.0
46.0,1.0,21.0,1.0,9,9.0,1.0,40.0,1.0,1.0
49.0,1.0,22.0,1.0,9,8.0,0.0,36.0,2.0,1.0
29.0,1.0,21.0,1.0,15,8.0,1.0,40.0,2.0,1.0
34.0,6.0,21.0,5.0,1,5.0,0.0,40.0,2.0,1.0
49.0,1.0,19.0,1.0,3,8.0,1.0,50.0,1.0,1.0
51.0,1.0,16.0,5.0,16,9.0,0.0,40.0,2.0,8.0
32.0,1.0,21.0,1.0,3,0.0,0.0,40.0,1.0,1.0
58.0,1.0,19.0,1.0,9,8.0,1.0,32.0,2.0,1.0
60.0,3.0,22.0,1.0,7,6.0,0.0,37.0,1.0,6.0
69.0,4.0,24.0,1.0,7,5.0,0.0,40.0,1.0,1.0
35.0,5.0,21.0,1.0,21,8.0,0.0,45.0,1.0,1.0
56.0,4.0,22.0,1.0,1,8.0,0.0,40.0,1.0,1.0
26.0,1.0,19.0,1.0,22,9.0,12.0,60.0,1.0,9.0
72.0,6.0,19.0,1.0,21,8.0,0.0,25.0,1.0,1.0
60.0,1.0,4.0,1.0,21,8.0,1.0,40.0,1.0,1.0
39.0,1.0,20.0,5.0,16,8.0,13.0,40.0,2.0,1.0
33.0,1.0,21.0,1.0,0,8.0,1.0,40.0,1.0,1.0
17.0,1.0,14.0,5.0,15,8.0,2.0,10.0,2.0,1.0
55.0,1.0,1.0,5.0,18,6.0,5.0,24.0,1.0,6.0
43.0,6.0,16.0,1.0,13,12.0,0.0,35.0,1.0,1.0
29.0,1.0,19.0,5.0,15,8.0,0.0,50.0,1.0,1.0
60.0,2.0,1.0,1.0,16,8.0,1.0,35.0,2.0,8.0
45.0,1.0,16.0,1.0,22,9.0,0.0,55.0,1.0,1.0
23.0,1.0,1.0,5.0,22,8.0,2.0,15.0,1.0,1.0
48.0,1.0,19.0,1.0,15,8.0,0.0,34.0,2.0,1.0
25.0,5.0,19.0,3.0,23,8.0,11.0,40.0,2.0,1.0
30.0,1.0,21.0,5.0,16,8.0,2.0,40.0,2.0,1.0
43.0,4.0,22.0,1.0,3,5.0,0.0,40.0,1.0,6.0
44.0,1.0,7.0,3.0,12,9.0,0.0,55.0,1.0,1.0
55.0,1.0,18.0,1.0,0,8.0,1.0,80.0,1.0,1.0
53.0,4.0,21.0,1.0,0,6.0,0.0,40.0,1.0,6.0
37.0,4.0,17.0,5.0,16,8.0,0.0,30.0,2.0,8.0
37.0,1.0,16.0,1.0,13,4.0,0.0,15.0,2.0,6.0
22.0,1.0,19.0,5.0,3,8.0,4.0,40.0,1.0,1.0
48.0,1.0,16.0,1.0,0,8.0,1.0,40.0,2.0,1.0
18.0,1.0,16.0,5.0,15,8.0,2.0,25.0,1.0,8.0
42.0,1.0,19.0,1.0,22,9.0,1.0,40.0,1.0,8.0
20.0,1.0,16.0,1.0,16,8.0,7.0,40.0,1.0,1.0
57.0,1.0,16.0,1.0,21,8.0,0.0,40.0,1.0,1.0
54.0,1.0,19.0,1.0,21,8.0,0.0,40.0,1.0,6.0
35.0,3.0,16.0,3.0,15,8.0,0.0,40.0,2.0,1.0
52.0,1.0,20.0,1.0,10,6.0,1.0,40.0,1.0,6.0
24.0,1.0,14.0,5.0,22,9.0,2.0,10.0,2.0,1.0
38.0,1.0,21.0,1.0,0,8.0,0.0,40.0,1.0,6.0
49.0,6.0,16.0,1.0,13,9.0,1.0,20.0,2.0,9.0
